"Número de artículo","Descripción del artículo","Grupo de artículos","Unidad de medida de inventario"
"ACC/MTTO-1918","TORQUIMETRO S/N DKG11429 PROTO","INSUMOS MTTO",""
"ACC/MTTO-1919","FUSIBLE PARA MAQUINARIA","INSUMOS MTTO",""
"ACC/MTTO-1920","OUTPUT PRESSURE GAUGE 0 - 30 PSIG","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1921","WASHER STEEL REF. 1E8730-28992","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1922","BOURDON TUBE 0 - 600 PSIG REF. 16A766-X062","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1923","MACHINE SCREW STEEL REF. 1A5733-X0012","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1924","BOMBA AUXILIAR DE COMBUSTIBLE PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1925","CHEQUE BRIDADO 3"" ANSI 600 C.S A 101 RF","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1926","FILTRO P-527484","INSUMOS MTTO VEHI",""
"ACC/MTTO-1927","FILTRO P-527680","INSUMOS MTTO VEHI",""
"ACC/MTTO-1928","FILTRO PH-49A","INSUMOS MTTO VEHI",""
"ACC/MTTO-1929","FILTRO FLP-1750","INSUMOS MTTO VEHI",""
"ACC/MTTO-1930","KIT DE EMPAQUES PARA BOMBA HIDRAULICA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1931","CABLE SOLDADOR Nº 2","INSUMOS MTTO",""
"ACC/MTTO-1932","AUTOPORTE PARA REDUCCION","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1933","FILTRO GS091","INSUMOS MTTO VEHI",""
"ACC/MTTO-1934","FILTRO GS295","INSUMOS MTTO VEHI",""
"ACC/MTTO-1935","FILTRO DA2788","INSUMOS MTTO VEHI",""
"ACC/MTTO-1936","LLANTA 215/75 R17,5","INSUMOS MTTO VEHI",""
"ACC/MTTO-1937","RODAMIENTO K.25878","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1938","RODAMIENTO K.3386","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1939","RODAMIENTO KHM.84249","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1940","MEDIO PIN PARA CADENA PASO 80 SENCILLA","INSUMOS MTTO",""
"ACC/MTTO-1941","PISTA REF K25820","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1942","PISTA REF K3320","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1943","PISTA REF KHM84210","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1944","KIT DE EMPAQUES PARA MOTOR HIDRAULICO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1945","BOMBA DE ACEITE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1946","BOMBA DE AGUA PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1947","VALVULAS DE ADMISION PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1948","VALVULAS DE ESCAPE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1949","GUIA VALVULAS PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1950","EMPAQUETADURA MOTOR NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1951","RODAMIENTOS PARA CAJA DE CAMBIOS DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1952","RODAMIENTOS PARA TRANSMISION DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1953","ECUALIZACION DE TRANSMISION DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1954","ALTERNADOR PARA GENERADOR DIESEL","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1955","MOTOR DE ARRANQUE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1956","KIT DE EMBRAGUE PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1957","GUACAL","INSUMOS MTTO",""
"ACC/MTTO-1958","EMPAQUETADURA DE BOMBA DE INYECCION DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1959","EMPAQUETADURA DE REGULADOR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1960","EMPAQUETADURA DE BOMBA AUXILIAR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1961","BOMBA AUXILIAR DE COMBUSTIBLE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1962","EJE DE LEVAS PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1963","IMPULSADOR PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1964","BUJE Y LEVA DE ACELERACION PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1965","LEVAS DE TORQUE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1966","RODILLO PUNTA EJE CORREDIZO PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1967","KIT  EMPAQUES CAJA CON RETENES PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1968","GUARDAPOLVO HORQUILLA DE EMBRAGUE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1969","KIT BRONCES CAJA PRINCIPAL Y SHIFT PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1970","JUEGO DE CASQUETE DE BIELA EN STD PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1971","JUEGO DE ARANDELAS DE AJUSTE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1972","CREMALLERA DE VOLANTE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1973","MEDIDOR DE COMBUSTIBLE PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1974","TAPON","INSUMOS MTTO",""
"ACC/MTTO-1975","RODAMIENTO 63/32","INSUMOS MTTO",""
"ACC/MTTO-1976","RODAMIENTO 6309","INSUMOS MTTO",""
"ACC/MTTO-1977","RODAMIENTO K,15245","INSUMOS MTTO",""
"ACC/MTTO-1978","RODAMIENTO K.21212","INSUMOS MTTO",""
"ACC/MTTO-1979","RODAMIENTO K.15117","INSUMOS MTTO",""
"ACC/MTTO-1980","RODAMIENTO K.15126","INSUMOS MTTO",""
"ACC/MTTO-1981","RODAMIENTO K.21075","INSUMOS MTTO",""
"ACC/MTTO-1982","TAPA PURIFICADOR DE AIRE DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1983","ANGULO DE 2"" x 1/8","INSUMOS MTTO",""
"ACC/MTTO-1984","CHEQUE DE 1/4"" NPT X 1/4"" NPT PARA 6000 PSI","INSUMOS DE WT",""
"ACC/MTTO-1985","AUTOMATICO PARA GENERADOR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1986","CAPSULA DE 1""","INSUMOS MTTO",""
"ACC/MTTO-1987","ACOPLE HIDRAULICO DE 1""","INSUMOS MTTO",""
"ACC/MTTO-1988","ADAPTADOR DE 3/8""","INSUMOS MTTO",""
"ACC/MTTO-1989","ADAPTADOR DE 1 5/16""","INSUMOS MTTO",""
"ACC/MTTO-1990","FILTRO PT","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1991","ARRANCADOR DE 9 A 13 amp","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1992","BREAKER TRIFASICO( NO USAR)","INSUMOS MTTO",""
"ACC/MTTO-1993","BOMBA DE FRENO PARA CAMION NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1994","MOTOR ELECTRICO DE MONOFASICO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1995","ESPARRAGO EJE TRASERO PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-1996","TUBO DE 1 1/2"" CAL 16","INSUMOS MTTO",""
"ACC/MTTO-1997","CORREA 6PK 1107","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1998","CORREA 17460","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-1999","CARCAZA DE MOTOR HIDRAULICO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2000","SWITCH PARA GENERADOR ONAN 10HDKCA11506C","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2001","MANGUERA R12 DE 1in ACOPLADA, hembra  hembra  conexión recta y a 90° en extremos 1m; marca GATES","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2002","PLATINA ALUMINIO 1/2 in X 4in X 6 MTRS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2003","REGULADOR BASELINE serie 492 de alta para 0-4000 psig","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2004","CODO DE 4IN SCH 120","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2005","REDUCCIÓN DE 4IN A 3IN SCH 120","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2006","COPA DE 3 1/8 in CON CUADRANTE DE 1in MARCA PROTO","INSUMOS MTTO",""
"ACC/MTTO-2007","COPA DE 3 1/8 in CON CUADRANTE DE 1in MARCA PROTO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2008","EMPAQUE DE CULATA NPR MODEL 1992","INSUMOS MTTO VEHI",""
"ACC/MTTO-2009","EMPAQUE MULTIPLE DE ADMISIÓN NPR  MODEL 1992","INSUMOS MTTO VEHI",""
"ACC/MTTO-2010","EMPAQUE MULTIPLE DE ESCAPE NPR  MODEL 1992","INSUMOS MTTO VEHI",""
"ACC/MTTO-2011","EMPAQUE TAPA VALVULA NPR MODEL 1992","INSUMOS MTTO VEHI",""
"ACC/MTTO-2012","SHELLAC PARA NPR 1992","INSUMOS MTTO VEHI",""
"ACC/MTTO-2013","POLEA DE MOTOR KUBOTA MODEL: DI703-M-B6-ET01 FAMILY: 8KBXL02.2FCC; P/N: 541-1293","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2014","PINZA P/ELECTRODO DE 300 AMP JACKSON","INSUMOS MTTO",""
"ACC/MTTO-2015","TUBO DE 1 1/4 CALIBRE 12","INSUMOS MTTO",""
"ACC/MTTO-2016","BASE PARA GUARDAPOLVO DE PALANCA DE CAMBIOS","INSUMOS MTTO VEHI",""
"ACC/MTTO-2017","MEDIDOR DE COMBUSTIBLE PARA GENERADOR DIESEL","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2018","DESMOLDANTE DE SOLDADURA","INSUMOS MTTO",""
"ACC/MTTO-2019","BASE PARA FILTRO DE GENERADOR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2020","ROTOR PARA BOMBA IHM","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2021","VOLUTA PARA BOMBA IHM","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2022","PULSADOR DE ARRANQUE","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2023","PULSADOR DE PARADA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2024","LLANTA 11R22.5","INSUMOS MTTO VEHI",""
"ACC/MTTO-2025","RIN 22.5 X 8.25 ALUMINIO","INSUMOS MTTO VEHI",""
"ACC/MTTO-2026","CAUCHOS PARA VALVULAS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2027","FLEXITALICO","INSUMOS DE WT",""
"ACC/MTTO-2028","TRANSFORMADOR 300W ENTRADA 440V SALIDA 220/110V (NO USAR)","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2029","JUEGO DE LLAVES MILIMETRICAS","INSUMOS MTTO",""
"ACC/MTTO-2030","TUBO DE 2 1/2","INSUMOS MTTO",""
"ACC/MTTO-2031","TUBO DE 2""","INSUMOS MTTO",""
"ACC/MTTO-2032","CADENA ESLABONADA DE 1/4""","INSUMOS MTTO",""
"ACC/MTTO-2033","TUBO DE 6"" SCH 40","INSUMOS MTTO",""
"ACC/MTTO-2034","Reducción de 6in a 3in SCH 40","INSUMOS MTTO",""
"ACC/MTTO-2035","Brida slipo A/C 6 X 150","INSUMOS MTTO",""
"ACC/MTTO-2036","Tensor para cable 1/2","INSUMOS MTTO",""
"ACC/MTTO-2037","Perro tipo liviano de 3/8","INSUMOS MTTO",""
"ACC/MTTO-2038","valvula de aguja A/C 1/2 X 10000 PSI","INSUMOS MTTO",""
"ACC/MTTO-2039","FLEXITALICO 6"" X 150","INSUMOS MTTO",""
"ACC/MTTO-2040","NIPLE DE 6 X 16IN SCH 40","INSUMOS MTTO",""
"ACC/MTTO-2041","TE SCH 40 X 6in","INSUMOS MTTO",""
"ACC/MTTO-2042","Treadoleth 1/2 x 15000 psi","INSUMOS MTTO",""
"ACC/MTTO-2043","FLANCHE AC CUELLO 3X300","INSUMOS MTTO",""
"ACC/MTTO-2044","FLANCHE AC CUELLO 3X150","INSUMOS MTTO",""
"ACC/MTTO-2045","INDUCIDO PARA MOTOR DE ARRANQUE","INSUMOS MTTO",""
"ACC/MTTO-2046","BENDISH","INSUMOS MTTO",""
"ACC/MTTO-2047","JUEGO DE ESCOBILLAS","INSUMOS MTTO",""
"ACC/MTTO-2048","JUEGO DE PINES","INSUMOS MTTO",""
"ACC/MTTO-2049","FILTRO  (RS4862) (AF26103) (P613336) (PA26103 o A-4862) (ARS-8863) (A-86810)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2050","FILTRO  (RS4863) (AF26268) (P613337 o P629470) (AP4863) (TF-PL3551815C1) (A-5439)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2051","FILTRO FF5369W","INSUMOS MTTO VEHI",""
"ACC/MTTO-2052","FILTRO (LF14000N) (BD7154) (LF9080) (P559000) (A-9080SP) (TRO-AD9001) (C-5724)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2053","FILTRO  (PA4985) (AF26430) (2506656C1 o P614221) (AP-43042) (CA-54010)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2054","FILTRO  (B5137) (B5088) (WF2122) (P550638) (AW-5137) (WC-57170)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2055","FILTRO (LF3313) (B2) (P550008) (A-1) (TRO-001) (C-1910)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2056","LLANTA  235 / 75R 17.5  DIRECCIONAL","INSUMOS MTTO",""
"ACC/MTTO-2057","FILTRO FS 19763G","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2058","EXTRACTOR DE PUNTERO PARA MANOMETRO","INSUMOS MTTO",""
"ACC/MTTO-2059","PRENSA ESTOPA PARA CABLE ARMADO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2060","FILTRO DE SUCCION","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2061","BOMBA HIDRAULICA 3525VQ","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2062","REGULADOR HIDRAULICO DE 1 1/4""","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2063","REGULADOR HIDRAULICO DE 3/4""","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2064","VALVULA DE VENTEO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2065","VALVULA DESVIADORA DE 1""","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2066","MANOMETRO DE 0 - 3000 PSI  DIAL DE 2.5 ""  CONEXIÓN TRASERA DE 1/4"" NPT.","INSUMOS DE WT",""
"ACC/MTTO-2067","FILTRO DE RETORNO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2068","REGULADOR PARA NITROGENO N2","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2069","ENFRIADOR PARA MOTOR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2070","BOMBA HIDRAULICA 4525VQ","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2071","VALVULA DE CONTROL","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2072","JUEGO DE CUCHILLAS PARA CORTATUBING","INSUMOS MTTO",""
"ACC/MTTO-2073","MEDIO PIN PARA CADENA PASO 40 SENCILLA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2074","PRENSA DE CADENA","INSUMOS MTTO",""
"ACC/MTTO-2075","PRENSA ESTOPA METALICA DE 3/8","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2076","CRUCETA PARA CAMION ( CARDAN )","INSUMOS MTTO VEHI",""
"ACC/MTTO-2077","TAPA DE TRANSFERENCIA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2078","BOMBA HIDRAULICA V10","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2079","TRANSFER SWITCH PN: ATS501","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2080","ROSCA TUBO DE 3"" SCH 80","INSUMOS MTTO",""
"ACC/MTTO-2081","NIPLE DE 1/4"" NPT X 3"" PARA 6000 PSI","INSUMOS DE WT",""
"ACC/MTTO-2082","NIPLE DE 3""","INSUMOS MTTO",""
"ACC/MTTO-2083","MANOMETRO DE 0 - 30 PSI DIAL DE 2.5 ""  CONEXIÓN TRASERA DE 1/4"" NPT.","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2084","TUBING DE 3/8""","INSUMOS DE MTTO",""
"ACC/MTTO-2085","VALVULA PARA ROTACION DE TORRE","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2086","CULATA DE MOTOR NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2087","no usar","INSUMOS MTTO ELECTRO",""
"ACC/MTTO-2088","JUEGO DE ANILLOS PARA MOTOR NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2089","RIEL PARA COFRE METALICO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2090","LLANTA 11R24.5","INSUMOS MTTO VEHI",""
"ACC/MTTO-2091","PERRO DE BASE DOBLE G-429","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2093","DESTORCEDOR G-403","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2094","LLANTA 255/70 R22.5","INSUMOS MTTO VEHI",""
"ACC/MTTO-2095","DISCO DE 14"" X 3/32","INSUMOS MTTO",""
"ACC/MTTO-2096","DISCO DE 7"" X 0.55","INSUMOS MTTO",""
"ACC/MTTO-2097","DISCO DE 4 1/2"" X 0.45","INSUMOS MTTO",""
"ACC/MTTO-2098","DISCO DE 4 1/2 DE LIJA DE ZIRCONIA GRANO 80","INSUMOS DE WT",""
"ACC/MTTO-2099","FRENO DE MOTOR CUMMINS","INSUMOS MTTO VEHI",""
"ACC/MTTO-2100","SENSOR SONORO PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2101","KIT DE FRENO DE EMERGENCIA PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2102","BASE DE LICUADORA PARA CAMION","INSUMOS MTTO VEHI",""
"ACC/MTTO-2103","ESPEJOS BUSCARATAS","INSUMOS MTTO VEHI",""
"ACC/MTTO-2104","FILTRO (FS 1040) (BF1277SPS) (P551047) (AS-1040SP) (PSD982) (SFC-5521)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2105","FILTRO G 150162","INSUMOS MTTO VEHI",""
"ACC/MTTO-2106","RODILLO PARA PINTAR","INSUMOS MTTO",""
"ACC/MTTO-2107","GUAYA DE VELOCIMETRO DE NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2108","LUBRICANTE ANTIOXIDANTE","INSUMOS MTTO",""
"ACC/MTTO-2109","ASBESTO PARA FRENOS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2110","DISC PARA VALVULA FARRIS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2111","SPRING BUTTONS PARA VALVULA FARRIS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2112","GASKET KIT PARA VALVULA FARRIS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2113","SENSOR DE VELOCIMETRO PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2114","FLANCHE PARA BOMBA HIDRAULICA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2115","FLOTADOR PARA TANQUE DE FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2116","TRONZADORA DEWALT S/N-021628- REF /D28710-B3","EQUI Y HTAS 24M",""
"ACC/MTTO-2117","HORNO PARA SOLDADURA","EQUI Y HTAS 24M",""
"ACC/MTTO-2118","PINTURA NARANJA","INSUMOS MTTO",""
"ACC/MTTO-2119","BARRA ESTABILIZADORA PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2120","GUAYA DE CAMBIO DE GIRO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2121","MOTOR DE ARRANQUE PARA MOTOR PERKINS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2122","MOTOR DE ARRANQUE PARA MOTOR CUMMINS","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2123","BUJE DE SOPORTE BOMBA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2124","JUNTA DE SOPORTE BOMBA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2125","BUJE DE ENGRANAJE BOMBA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2126","JUNTA DE CABEZA BOMBA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2127","PASADOR RUEDA INTERMEDIA BOMBA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2128","TANQUE REFRIGERANTE PARA GENERADOR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2129","JUEGO DE ANILLOS PARA COMPRESOR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2130","CARRIER PARA DANIEL DE 3""","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2131","JUEGO DE CORREAS PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2132","JUEGOS DE CORREAS PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2133","JUEGOS DE CORREAS PARA KODIAK","INSUMOS MTTO VEHI",""
"ACC/MTTO-2134","JUEGO DE CORREAS PARA INT","INSUMOS MTTO VEHI",""
"ACC/MTTO-2135","RIN 24.5 X 8.25 HIERRO","INSUMOS MTTO VEHI",""
"ACC/MTTO-2136","SENSOR DE TEMPERATURA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2137","KIT DE FILTROS PARA CAMION","INSUMOS MTTO VEHI",""
"ACC/MTTO-2138","SENSOR DE PRESION DE ACEITE ( KODIAK )","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2139","ACEITE 85W140 MARCA SHELL","INSUMOS MTTO",""
"ACC/MTTO-2140","CONDENSADOR LUZ METAL HALIDE","INSUMOS MTTO",""
"ACC/MTTO-2141","FILTRO P547808 DONALDSON","INSUMOS MTTO VEHI",""
"ACC/MTTO-2142","FILTRO C011536 DONALDSON","INSUMOS MTTO VEHI",""
"ACC/MTTO-2143","FILTRO (23530573 DETROIT )(B495) (LF3620) (P552100) (A-495SP) (TFO-3620) (C-65201)","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2144","FILTRO 23514654 DETROIT","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2145","FILTRO (23530645 DETROIT )(BF5813) (FS19513) (P553202) (A-5813) (TRO-C5813)","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2146","FILTRO P781098 DONALDSON","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2147","LAMINA DE POLIESTIRENO","INSUMOS DE MTTO",""
"ACC/MTTO-2148","FUELLES PARA VALVULA FISHER","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2149","SEE VIEW PARA VALVULA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2150","JUEGO DE LIMPIABRISAS PARA KDK","INSUMOS MTTO VEHI",""
"ACC/MTTO-2151","JUEGO DE LIMPIABRISAS PARA NPR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2152","JUEGO DE LIMPIABRISAS PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2153","JUEGO DE LIMPIABRISAS PARA INT","INSUMOS MTTO VEHI",""
"ACC/MTTO-2154","TUBO CUADRADO DE 2"" CALIBRE 14","INSUMOS DE MTTO",""
"ACC/MTTO-2155","TUBO ESTRUCTURAL REDONDO DE 1 1/4 CALIBRE 14","INSUMOS DE MTTO",""
"ACC/MTTO-2156","BOTELLA DE MEZCLA (ARGON - CO2)","INSUMOS DE MTTO",""
"ACC/MTTO-2157","DISCO DE 7"" X 1/16""","INSUMOS DE WT",""
"ACC/MTTO-2158","TUBO ESTRUCTURAL REDONDO DE 1"" CALIBRE 14","INSUMOS DE MTTO",""
"ACC/MTTO-2159","PRENSA DE HORQUILLA No 25","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2160","VALVULA DE FRENO DE AHOGO PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2161","SECADOR DE AIRE PARA FVR","INSUMOS MTTO VEHI",""
"ACC/MTTO-2162","FILTRO (WF 2127) (BW5086) (BW5087) (P550867) (AW-2127SP) (TRO-C2127) (WC-57020)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2163","FILTRO P781102 DONALDSON (RS4629)","INSUMOS MTTO VEHI",""
"ACC/MTTO-2164","CARDAN","INSUMOS MTTO",""
"ACC/MTTO-2165","SOPORTE PARA GENERADOR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2166","JUEGO DE CINCELES","INSUMOS DE MTTO",""
"ACC/MTTO-2167","LLAVE DE TIPO CADENA PARA FILTROS","INSUMOS DE MTTO",""
"ACC/MTTO-2168","INYECTOR DE ACPM PARA FVR REF 8943946066","INSUMOS MTTO VEHI",""
"ACC/MTTO-2169","TUBO DE 6"" SCH 40","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2170","TEE DE 6"" SCH 80","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2171","CODO DE 6"" SCH 80","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2172","TUBO DE 1 3/4"" CAL 12","INSUMOS MTTO",""
"ACC/MTTO-2173","CADENA ESLABONADA DE 3/16","INSUMOS MTTO",""
"ACC/MTTO-2174","CADENA ESLABONADA DE 1/8","INSUMOS MTTO",""
"ACC/MTTO-2175","TOMA FUERZA PARA NPR","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2176","KIT DE FILTROS PARA PLANTA ESTADIO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2177","MANGO PARA TALADRO","INSUMOS MTTO",""
"ACC/MTTO-2178","TUBO PVC DE 1 1/2""","INSUMOS MTTO",""
"ACC/MTTO-2179","CURVA PVC DE 1 1/2""","INSUMOS MTTO",""
"ACC/MTTO-2180","SELECTOR ELECTRICO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2181","T-STAT PARA AIRE ACONDICIONADO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2182","ELECTRONIC KIT PARA AIRE ACONDICIONADO","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2183","PINTURA PLATEADA","INSUMOS DE MTTO",""
"ACC/MTTO-2184","CINTA LED BLANCA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2185","PISTOLA NEUMATICA","INSUMOS DE MTTO",""
"ACC/MTTO-2186","CORTAFUEGO DE 1/2""","INSUMOS DE MTTO",""
"ACC/MTTO-2187","PASTA SELLANTE","INSUMOS DE MTTO",""
"ACC/MTTO-2188","NIPLE DE 1""","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2189","CADENA PASO 120 SENCILLA","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2190","UNION PARA CADENA DE PASO 120","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2191","ESTRIBO PASO 120","INSUMOS DE  MTTO MQ",""
"ACC/MTTO-2192","SENSOR DE NIVEL","INSUMOS DE  MTTO MQ",""
